@relation DEF_gameweek_31

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.033901,0.040006,0.857831,17.1,12.175,8.25,3.75,4,0,3,?
0.011387,0,0.857831,0,0,0,0,4,0,0.5,?
0,0.054378,0.857831,17,13.1,0.5,3.075,4,0,3.5,?
0.010001,0,0.857831,16,1,2.75,1.975,4,0,4,?
0.078548,0,0.857831,20.3,0.8,10.5,3.175,4,0,4,?
0,0.010045,0.857831,0,0,0,0,4,0,0,?
0.03399,0,1.063349,18.4,0.925,9.75,2.9,7,0,5.25,?
0.02922,0.040339,1.063349,13.85,8.075,8.25,3,7,0,4,?
0.08608,0.162552,1.063349,32.2,14.475,6.75,5.325,7,0,8,?
0,0.012385,1.063349,3.25,0.325,0,0.35,7,0,0.5,?
0.003358,0.005167,1.063349,8.1,7.025,2.25,1.725,7,0,2.5,?
0.147681,0.007203,1.282758,21.2,2.975,20.75,4.475,9,0,3.25,?
0.003311,0.011797,1.282758,10.55,5.8,1.25,1.75,9,0,2.5,?
0,0.020841,1.282758,1.05,0.7,0,0.175,9,0,0.25,?
0.01467,0.033339,1.282758,0,0,0,0,9,0,0,?
0,0.010426,1.282758,21.65,3,1,2.575,9,0,2.75,?
0,0.206875,1.282758,12,7.075,2.5,2.15,9,0,4,?
0,0.028888,1.282758,0,0,0,0,9,0,0,?
0.035543,0.019198,1.282758,0,0,0,0,9,0,0,?
0.07226,0.010553,1.854515,9.8,5.9,17,3.275,2,1,0.25,?
0.165942,0,1.854515,29.35,2.1,31,6.25,2,1,2.5,?
0.004021,0.016261,1.854515,13.4,8.55,2.25,2.425,2,1,0.5,?
0.024175,0.108656,1.854515,6.35,12.475,6,2.475,2,1,0.75,?
0.005499,0.150915,1.854515,15.45,20.65,5,4.125,2,1,0.75,?
0.019464,0.003153,1.735012,26.5,2.825,4.5,3.375,10,1,0.5,?
0.019464,0.003153,1.735012,26.5,2.825,4.5,3.375,3,1,0.5,?
0,0,1.735012,0,0,0,0,10,1,0,?
0,0,1.735012,0,0,0,0,3,1,0,?
0,0,1.735012,0,0,0,0,10,1,0,?
0,0,1.735012,0,0,0,0,3,1,0,?
0.002063,0.11823,1.735012,0,0,0,0,10,1,0,?
0.002063,0.11823,1.735012,0,0,0,0,3,1,0,?
0.009963,0,1.735012,11.8,0.925,0.5,1.325,10,1,0.75,?
0.009963,0,1.735012,11.8,0.925,0.5,1.325,3,1,0.75,?
0.007072,0.019464,1.735012,13.3,6.55,5.25,2.5,10,1,1,?
0.007072,0.019464,1.735012,13.3,6.55,5.25,2.5,3,1,1,?
0.012358,0.085324,0.671254,0.35,3.6,2,0.6,4,1,0.25,?
0.025941,0,0.671254,19.6,2.05,0,2.175,4,1,4,?
0.031126,0.020886,0.671254,5.55,3.525,0,0.9,4,1,1,?
0.028129,0,0.671254,13.05,3.7,12,2.875,4,1,4.25,?
0.062251,0.011916,0.671254,13,6.6,1.25,2.1,4,1,4,?
0.005163,0.090494,0.671254,3.35,7.85,0.25,1.125,4,1,3.25,?
0.106636,0.018483,0.671254,26.1,4.8,8.25,3.9,4,1,6.5,?
0.167948,0,1.181558,0,0,0,0,8,1,0,?
0.022252,0.026469,1.181558,11.25,3.275,1.75,1.625,8,1,3.25,?
0,0,1.181558,0,0,0,0,8,1,0,?
0.021182,0.095218,1.181558,24.55,9.85,6.25,4.05,8,1,5,?
0,0.004871,1.181558,0,0,0,0,8,1,0,?
0,0.022252,1.181558,17.8,3.275,2,2.3,8,1,4,?
0,0.05264,1.181558,19.65,5.575,1.5,2.7,8,1,4,?
0.003679,0,1.181558,9.45,1.65,2.25,1.325,8,1,4,?
0.015489,0.041752,1.661794,12.7,8.125,6.5,2.725,9,0,2.75,?
0.015489,0.041752,1.661794,12.7,8.125,6.5,2.725,1,0,2.75,?
0,0,1.661794,6.75,0.3,0,0.7,9,0,1.75,?
0,0,1.661794,6.75,0.3,0,0.7,1,0,1.75,?
0,0.003985,1.661794,19.05,3.15,1.5,2.375,9,0,2.25,?
0,0.003985,1.661794,19.05,3.15,1.5,2.375,1,0,2.25,?
0.043862,0.038408,1.661794,9.15,0.4,5.5,1.5,9,0,1.75,?
0.043862,0.038408,1.661794,9.15,0.4,5.5,1.5,1,0,1.75,?
0.023916,0.002645,1.661794,7.1,2.5,1.25,1.075,9,0,0.25,?
0.023916,0.002645,1.661794,7.1,2.5,1.25,1.075,1,0,0.25,?
0.194437,0,1.661794,1.2,0.2,0,0.15,9,0,0,?
0.194437,0,1.661794,1.2,0.2,0,0.15,1,0,0,?
0,0.01909,1.661794,2.15,3.825,0.5,0.65,9,0,0.5,?
0,0.01909,1.661794,2.15,3.825,0.5,0.65,1,0,0.5,?
0.123822,0.023829,1.961835,1.15,0,0,0.125,8,0,0.25,?
0.076079,0.022355,1.961835,3.5,3.375,5.5,1.25,8,0,0.5,?
0,0.018816,1.961835,23.15,3.8,2,2.925,8,0,4.25,?
0.006484,0.022702,1.961835,10.1,0.575,1.75,1.25,8,0,3.5,?
0.026471,0,1.961835,27.4,1.8,7.5,3.675,8,0,4.25,?
0.10464,0.078585,1.961835,5.5,3.925,11.25,2.075,8,0,0.75,?
0.009399,0.00887,1.961835,15.5,4.4,5.5,2.55,8,0,3.25,?
0,0,1.961835,0,0,0,0,8,0,0,?
0,0,1.961835,0,0,0,0,8,0,0,?
0.008577,0,1.068565,0,0,0,0,6,1,0,?
0.103534,0.066846,1.068565,25.95,9.35,26.25,6.125,6,1,4.25,?
0.089138,0.028413,1.068565,9.45,6.175,3,1.875,6,1,1,?
0.230519,0.010869,1.068565,22.4,3.1,15.75,4.15,6,1,1,?
0.015759,0,1.068565,2.3,0.05,1,0.325,6,1,0,?
0.158806,0.06451,0.660855,26.85,4.3,11.5,4.25,1,1,7.75,?
0.111022,0,0.660855,24.55,0.975,11.5,3.7,1,1,8,?
0.045507,0.432716,0.660855,27.6,34.55,11.75,7.4,1,1,9.25,?
0,0.010269,0.660855,0,0,0,0,1,1,0,?
0.017796,0,0.660855,4.65,0.325,0,0.5,1,1,1.5,?
0.113421,0.196582,0.660855,0,0,0,0,1,1,0,?
0.015464,0.065955,0.902238,9.15,13.825,2.5,2.55,1,0,2.25,?
0.012524,0.032476,0.902238,12.95,10.6,4.75,2.825,1,0,4.25,?
0.071851,0.039358,0.902238,23.1,21.4,19.5,6.4,1,0,5.25,?
0.166707,0.154319,0.902238,0,0,0,0,1,0,0,?
0.142413,0.03764,0.902238,20.95,10.55,4,3.55,1,0,4,?
0.014321,0.116461,0.902238,0,0,0,0,1,0,0,?
0.041466,0,1.637506,23.15,0.55,4.25,2.8,5,1,1.25,?
0.004611,0.225498,1.637506,10.55,12.325,1.5,2.45,5,1,1,?
0.048813,0.068242,1.637506,16,25.15,5.75,4.675,5,1,3.25,?
0.019207,0.010731,1.637506,11.4,6,4.5,2.2,5,1,2.75,?
0,0,1.637506,0,0,0,0,5,1,0,?
0.030888,0.036909,1.637506,15,12.075,8,3.525,5,1,1.75,?
0.018677,0.047004,1.637506,3.5,0.75,0,0.425,5,1,0.25,?
0,0.004183,1.637506,8.55,3.45,0.5,1.275,5,1,2,?
0,0,1.637506,0,0,0,0,5,1,0,?
0.020278,0.101539,1.306957,16.1,20.9,7,4.425,7,0,2,?
0.092372,0.033936,1.306957,26,5.75,9.25,4.075,7,0,2.75,?
0.025595,0,1.306957,0,0,0,0,7,0,0,?
0.015223,0,1.306957,3.2,0,0.5,0.375,7,0,0.5,?
0,0,1.306957,0,0,0,0,7,0,0,?
0,0,1.306957,1.6,0.475,0,0.225,7,0,1,?
0.016963,0.006183,1.306957,9.7,1.15,2.75,1.375,7,0,2.25,?
0.056323,0,1.306957,20.7,1.45,17,3.9,7,0,4,?
